symbol,ltp,changepct,contribution
INFY,1508.4,-1.13,-13.91
M&M,3530.3,-1.66,-9.82
TCS,3111.9,-0.69,-5.54
ASIANPAINT,2502.6,-1.72,-4.31
SUNPHARMA,1602.0,-0.9,-4.04
TITAN,3534.1,-1.06,-3.37
CIPLA,1548.3,-1.67,-3.31
SHRIRAMFIN,623.65,-1.45,-2.84
ITC,412.65,-0.27,-2.44
DRREDDY,1300.8,-1.21,-2.0
EICHERMOT,6801.0,-1.08,-1.9
POWERGRID,286.25,-0.49,-1.56
MARUTI,15265.0,-0.39,-1.43
HINDALCO,753.65,-0.58,-1.19
APOLLOHOSP,7816.5,-0.74,-1.19
TATAMOTORS,712.9,-0.33,-1.01
HDFCBANK,967.05,-0.03,-1.0
ONGC,232.26,-0.42,-0.91
TATASTEEL,169.23,-0.32,-0.84
NESTLEIND,1212.5,-0.42,-0.82
TECHM,1519.8,-0.37,-0.81
SBILIFE,1822.2,-0.44,-0.79
NTPC,331.1,-0.18,-0.69
AXISBANK,1104.4,-0.08,-0.62
KOTAKBANK,1970.8,-0.08,-0.59
HDFCLIFE,777.2,-0.31,-0.56
BEL,398.45,-0.21,-0.54
ADANIENT,2383.4,-0.36,-0.49
WIPRO,251.28,-0.26,-0.4
HEROMOTOCO,5288.5,-0.25,-0.28
TATACONSUM,1102.6,-0.12,-0.21
HCLTECH,1466.5,-0.05,-0.19
BAJAJFINSV,2080.0,-0.07,-0.17
INDUSINDBK,739.9,-0.08,-0.1
