symbol,ltp,changepct,contribution
HDFCBANK,786.85,2.61,79.66
ICICIBANK,1291.8,2.18,43.64
LT,4033.4,2.72,25.89
RELIANCE,1367.0,0.92,19.06
SBIN,969.6,2.15,17.21
BAJFINANCE,941.9,2.77,14.98
AXISBANK,1311.2,2.01,14.3
KOTAKBANK,392.85,2.26,13.96
M&M,3139.0,1.87,12.4
EICHERMOT,7414.0,6.19,11.75
ETERNAL,247.67,2.36,9.93
ADANIENT,2849.7,4.87,6.44
TITAN,4159.2,1.95,6.23
ITC,303.95,0.75,5.93
MARUTI,13170.0,1.41,5.9
BAJAJFINSV,1807.4,2.34,5.57
SHRIRAMFIN,961.95,2.23,5.14
TMPV,373.25,2.72,4.58
ULTRACEMCO,11726.0,1.36,3.89
BEL,421.85,1.27,3.88
INDIGO,4501.9,1.43,3.75
JIOFIN,241.74,1.49,3.08
SBILIFE,1901.9,1.67,3.01
DRREDDY,1331.4,1.85,2.8
WIPRO,206.84,1.84,2.61
BHARTIARTL,1874.8,0.18,2.08
ADANIPORTS,1802.9,0.9,2.01
CIPLA,1413.9,1.05,1.82
ASIANPAINT,2657.8,0.68,1.8
TECHM,1435.5,0.94,1.76
TATASTEEL,210.22,0.49,1.45
NTPC,390.05,0.36,1.13
GRASIM,3171.6,0.52,1.11
HDFCLIFE,620.0,0.55,0.94
POWERGRID,295.35,0.36,0.89
APOLLOHOSP,8404.0,0.5,0.76
JSWSTEEL,1289.4,0.3,0.67
COALINDIA,458.0,0.32,0.56
HCLTECH,1165.7,0.15,0.52
TRENT,4300.0,0.08,0.16
