symbol,ltp,changepct,contribution
BHARTIARTL,1910.8,1.88,21.67
ETERNAL,264.3,2.18,9.16
ICICIBANK,1346.5,0.31,6.2
LT,4209.4,0.46,4.37
ITC,292.5,0.46,3.63
NTPC,365.8,1.05,3.3
POWERGRID,292.25,1.21,2.99
SUNPHARMA,1838.3,0.73,2.7
TITAN,4419.9,0.72,2.3
NESTLEIND,1414.8,1.02,1.89
BAJFINANCE,961.8,0.31,1.67
TRENT,3205.8,0.81,1.58
APOLLOHOSP,8489.5,0.92,1.39
ADANIENT,3038.4,0.82,1.08
ONGC,246.25,0.39,0.77
MAXHEALTH,1094.75,0.39,0.65
DRREDDY,1272.1,0.36,0.54
INDIGO,5021.5,0.19,0.5
HINDALCO,1010.0,0.15,0.36
GRASIM,3149.5,0.14,0.3
JIOFIN,244.45,0.14,0.29
EICHERMOT,7611.0,0.13,0.25
HDFCLIFE,591.85,0.09,0.15
TATACONSUM,1111.5,0.01,0.02
SHRIRAMFIN,1001.9,-0.08,-0.18
BAJAJ-AUTO,10066.0,-0.11,-0.22
COALINDIA,451.3,-0.16,-0.28
BAJAJFINSV,1769.4,-0.13,-0.31
CIPLA,1351.8,-0.27,-0.47
SBILIFE,1800.2,-0.41,-0.74
ADANIPORTS,1835.3,-0.37,-0.83
JSWSTEEL,1287.7,-0.48,-1.07
AXISBANK,1357.9,-0.16,-1.14
BEL,426.9,-0.4,-1.22
ULTRACEMCO,11367.0,-0.55,-1.57
WIPRO,180.8,-1.13,-1.6
ASIANPAINT,2732.9,-0.81,-2.14
TATASTEEL,198.96,-0.78,-2.3
TMPV,359.5,-1.43,-2.4
MARUTI,13395.0,-0.66,-2.76
HINDUNILVR,2194.6,-1.09,-4.71
TECHM,1409.6,-2.7,-5.06
KOTAKBANK,399.25,-0.93,-5.74
SBIN,1035.1,-0.73,-5.84
HCLTECH,1131.7,-2.66,-9.13
M&M,3074.8,-2.01,-13.32
TCS,2125.0,-3.68,-23.59
RELIANCE,1309.5,-1.42,-29.39
HDFCBANK,779.8,-2.46,-75.02
INFY,1051.4,-7.24,-81.36
